Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
CROSNIER, Jules.;Français. — Genève.;57;Une ferme en Bourbonnais ;(aquarelle) 200;
CROSNIER, Jules.;Français. — Genève.;58;Avant l’averse ;(Millières), » 180;
CROSNIER, Jules.;Français. — Genève.;59;Branches de pommiers, » 160;» 160;
DELSAUX, Guillaume.;Bruxelles.;60;Un quai à Namur. . . . . . . . . 400;;
DELSAUX, Guillaume.;Bruxelles.;61;Matinée d’avril. . . . . . . . . . . 375;;
DEROCHE, Mad.; Marie. Montigny (Eure).;62;Roses de Nice. . . . . . . . . . . 400;;
DEROCHE, Mad.; Marie. Montigny (Eure).;63;Chrysanthèmes. . . . . . . . . . . 300;;
DEROCHE, Victor.;Montigny (Eure).;64;Pêcheuses de la Somme. . . . . . 350;;
DEROCHE, Victor.;Montigny (Eure).;65;Pêche à la courtine à l’embouchure de la Charente. . . . . . . . . . 450;;
DESLIENS, Mlle Marie.;Paris.;66;Panier de cerises. . . . . . . . . 200;;
DEYROLLE, Théophile.;Paris.;67;Un sauvetage à Concarneau ;(Finistère) 1000;
DEYROLLE, Théophile.;Paris.;68;Paysanne bretonne. . . . . . . . . 300;;
DIEMER, Henri.;Strasbourg.;69;Environs d’Ostwald.;;
DIEMER, Henri.;Strasbourg.;70;Fond de forêt.;;
DORNOIS, Albert.;Paris. Ensemble. Séparés.;71;Metz. Pont Saint-Georges. 200  fr. 150 fusains;;
DORNOIS, Albert.;Paris. Ensemble. Séparés.;72;» Château de Vernéville  75;;
DORNOIS, Albert.;Paris. Ensemble. Séparés.;73;Prairie à Montmerrey ;(Orne). .  120;
DUPAIN, Edmond-Louis.;Paris.;74;Namouna. . . . . . . . . . . . . 1500;;
DUSSIEUX-KELLER, Mad.; Stéphanie. Paris.;75;Orange ouverte. . . . . . . . . . 300;;
DUSSIEUX-KELLER, Mad.; Stéphanie. Paris.;76;Fleurs des champs. . . . . . . . . 350;;
EHRHARD, Auguste.;Strasbourg.;77;Marchande de fleurs.;;
EHRHARD, Auguste.;Strasbourg.;78;Joueurs de cartes.;;
EISMAN-SEMENOWSKY, Émile.;Russe. — Paris.;79;Froufrou. . . . . . . . . . . . . 1500;;
EISMAN-SEMENOWSKY, Émile.;Russe. — Paris.;80;In vino veritas. . . . . . . . . . . 1200;;
EISMAN-SEMENOWSKY, Émile.;Russe. — Paris.;81;Friquette. . . . . . . . . . . . . 600;;
EISMAN-SEMENOWSKY, Émile.;Russe. — Paris.;82;Flora. . . . . . . . . . . . . . . 600;;
FISCHER, Carlos.;Strasbourg.;83;Roses.;;
