Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
POINT (Armand).; — 16, rue Vancau. — Au bord de l’Eurotas. — Ophélie (appartenant à M. de S.). — Sourire de Printemps (pastel, à M. C.). — Projet de décoration (les douze mois de l’année). DESSINS;190;Lionne.;;
POINT (Armand).; — 16, rue Vancau. — Au bord de l’Eurotas. — Ophélie (appartenant à M. de S.). — Sourire de Printemps (pastel, à M. C.). — Projet de décoration (les douze mois de l’année). DESSINS;191;Gravité ;(appartenant à M. Muron).;
POINT (Armand).; — 16, rue Vancau. — Au bord de l’Eurotas. — Ophélie (appartenant à M. de S.). — Sourire de Printemps (pastel, à M. C.). — Projet de décoration (les douze mois de l’année). DESSINS;192;Ophélie ;(appartenant à M. de S.).;
POINT (Armand).; — 16, rue Vancau. — Au bord de l’Eurotas. — Ophélie (appartenant à M. de S.). — Sourire de Printemps (pastel, à M. C.). — Projet de décoration (les douze mois de l’année). DESSINS;193;Mystère ;(appartenant à M. B.).;
POINT (Armand).; — 16, rue Vancau. — Au bord de l’Eurotas. — Ophélie (appartenant à M. de S.). — Sourire de Printemps (pastel, à M. C.). — Projet de décoration (les douze mois de l’année). DESSINS;194;Etude pour an plafond ;(appartenant à M. B.).;
POINT (Armand).; — 16, rue Vancau. — Au bord de l’Eurotas. — Ophélie (appartenant à M. de S.). — Sourire de Printemps (pastel, à M. C.). — Projet de décoration (les douze mois de l’année). DESSINS;195;Sonde ;(appartenant à M. B.).;
POINT (Armand).; — 16, rue Vancau. — Au bord de l’Eurotas. — Ophélie (appartenant à M. de S.). — Sourire de Printemps (pastel, à M. C.). — Projet de décoration (les douze mois de l’année). DESSINS;196;Sérénité ;(appartenant à Mme de S.).;
POINT (Armand).; — 16, rue Vancau. — Au bord de l’Eurotas. — Ophélie (appartenant à M. de S.). — Sourire de Printemps (pastel, à M. C.). — Projet de décoration (les douze mois de l’année). DESSINS;197;Curiosité.;;
POINT (Armand).; — 16, rue Vancau. — Au bord de l’Eurotas. — Ophélie (appartenant à M. de S.). — Sourire de Printemps (pastel, à M. C.). — Projet de décoration (les douze mois de l’année). DESSINS;198;Etude.;;
POINT (Armand).; — 16, rue Vancau. — Au bord de l’Eurotas. — Ophélie (appartenant à M. de S.). — Sourire de Printemps (pastel, à M. C.). — Projet de décoration (les douze mois de l’année). DESSINS;199;Etude.;;
RAMBAUD (Pierre).; — 61, rue d’Erlanger.;200;L'Inspiration ;— L'Inspiration (tête bronze).;
RAMBAUD (Pierre).; — 61, rue d’Erlanger.;201;Mystère ;(tête bronze).;
RAMBAUD (Pierre).; — 61, rue d’Erlanger.;202;Le Rêve ;(tête marbre).;
RAMBAUD (Pierre).; — 61, rue d’Erlanger.;203;La Pensée ;(tête marbre).;
REGAMEY (Félix).; — 6, rue Goëtlogon.;204;Le Vent.;;
ROSENKRANTZ (Baron de).; — 24, avenue de Saxe.;205;Le Christ.;;
ROSENKRANTZ (Baron de).; — 24, avenue de Saxe.;206;La Vision de la Vierge.;;
ROSENKRANTZ (Baron de).; — 24, avenue de Saxe.;207;Psyché ;(pastel).;
ROSENKRANTZ (Baron de).; — 24, avenue de Saxe.;208;Près du feu ;(pastel).;
ROSENKRANTZ (Baron de).; — 24, avenue de Saxe.;209;La Fuite en Egypte ;(esquisse).;
ROSENKRANTZ (Baron de).; — 24, avenue de Saxe.;210;L’Annonciation aux bergères ;(esquisse).;
ROSENKRANTZ (Baron de).; — 24, avenue de Saxe.;211;L’Adoration des bergers ;(esquisse).;
SAINVILLE (Emmanuel de).; — 56, rue N.-D.-de-Lorette.;212;Kypris-Laksmi.;;
SAINVILLE (Emmanuel de).; — 56, rue N.-D.-de-Lorette.;213;Mélancolie.;;
SAVINE.; — 19, rue Victor-Massé.;214;Rieur ;(bois acajou).;
SAVINE.; — 19, rue Victor-Massé.;215;Sainte Anne ;(bois sycomore).;
SAVINE.; — 19, rue Victor-Massé.;216;Condottiere ;(terre cuite originale).;
SAVINE.; — 19, rue Victor-Massé.;217;Moine ;(erre cuite originale).;
SAVINE.; — 19, rue Victor-Massé.;218;Florentin ;(terre cuite originale).;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;219;La Vierge.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;220;Les Ephèbes.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;221;Les Mères.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;222;Les Vierges.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;223;Les Vieillards.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;224;Fleurs et Fruits.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;225;GraphicZone:illustrations sur fond or ;(La Chasse).;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;226;- »  » ». ;(La Pêche). DESSINS;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;227;Muse mystique.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;228;Le Repos.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;229;La Fin des Dieux ;(à M.).;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;230;L'Aveu.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;231;Désespoir de la Chimère.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;232;Sin ;(Frontispice de Typhonia).;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;233;Endormie.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;234;La Province.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;235;Baigneuse.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;236;Femme aux pâquerettes;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;237;Paysage.;;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;238;Carton ;(GraphicZone:illustration de l’Hiver).;
SÉON (Alexandre).; — 81, rue de l’Abbé-Groult, Paris (Vaugirard). PEINTURES;239;Cartons ;(Femmes aux Couronnes). ETUDES;
